,0
297433,"534205,534206,534207,534227,565807,569245,566921,566922,566932,566933,566934,566935,592400,592401,743967,743969,743971,902635,902637,902639,800461,800463,800465,800467,913613,913615,913617,913641,913643,913645,913647,1029825,1029827,1034809,1034811,1034813,1034815,1034817,1031437,1031439,1031441,1031443,1031659,1031661,1031663,1072305,1072306,1072307,1072308,1072309,1115780,1115781,1119535,1119536,1119549,1119550,1119551,1119552,1119553,1140387,1158062,1158063,1158064,1152839,1152846,1152847,1152848,1152849,1152850,1185304,1243015,1243016,1243386,1243387,1239543,1239544,1239545,1239546"
18632,"521225,521226,565806,565807,565808,902639"
21431,426402
24598,"426401,426402,426413,426414,426415,426416,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630"
21646,"426424,766929"
210283,"426423,426424,426401,426402,426413,426414,426415,426416,428749,428750,428751,474464,521226,534207,534226,534227,565808,569243,569244,569245,566921,566922,566932,743967,743969,743971,800461,800463,800465,913613,913615,913617,913641,913645,913647,1029827"
10656,"426423,592397,592398,592399,592400,592401"
47623,"345974,387570,387571,387572,387573,426423,426424,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474464,474465,474472,474473,531628,531629,531630,521225,521226,534205,534206,534207,534225,534226,534227,565806,565807,565808,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,766929,766931,766933"
18389,"380712,380713,345971,345972,345973,387570,387571,387572,534207"
9310,"380712,380713,426423,426424,426401,428752,428753,474473,474474,474475,521226,534205,534206,534207,534225,534226,565806,565809,566933,566934,566935,592399,592400"
23911,352664
20431,"361050,361051,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426423,426424,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534207,534225,534227,565806,565807,565808,565809,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399"
270253,296910
8845,"300442,300443,300444,296900,296901,296902,296909,296910,296911,296912,352663"
10617,"291223,300443,300444,296900,296901,296902,296909,296910,296912,361051,352661,352662,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426423,426424,426413,426414,426415,426416,428749,428750,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,521225,534205,534206,534225,534226,534227,565806,565807,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399,592400,592401,667899,667901,667711,667713,667715,667717,667719,766929,766931,766933,743939,743941,743963,743965,743967,743969,743971,902635,902637,902639,800461,800463,800465,800467,913613,913615,913617,913641,913643,913645,913647,1029825,1034809,1034811,1034817,1031437,1031439,1031441,1031443,1031659,1031661,1031663,1072305,1072306,1072307,1072308,1072309,1115780,1115781,1119535,1119536,1119549,1119550,1119551,1119552,1119553,1140387,1158063,1158064,1152839,1152846,1152847,1152848,1152849,1152850,1187671,1187672,1185304,1185305,1185306,1185307,1225248,1225249,1198241,1198242,1198243,1243015,1243385,1243386,1249210,1249211,1239543"
10582,"291222,291223,291224,352663,380712,380713,345970,345971,345972,345973,474474,474475,534225"
21650,"258468,258469,258470,428751,428752,428753,474463,474464,474465,474472,531628,592397"
18675,"258459,258460,258461,258462,258468,258469,258470,291222,291223,291224,361050,361051,352661,352662,390680,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426423,426424,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534207,534225,534226,534227,565806,565807,565808,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399,667899,667901,667711,667713"
16281,225266
17944,"225264,225265,225256,225257,225258,249224,249225,249226"
20123,"238187,258459,352662,390680,352663,352664"
18655,"239025,238186,238187,225264,225265,225266,225255,225256,225257,225258,249224,249225,249226,258459,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296910,296911,296912,361050,361051,352661,352662,352664,345970,531629,531630,521225,565807,565808,565809,569243,569244,569245,592398,592400"
11728,"239025,238186,225264,225265,225266,225255,225256,225257,225258,249222,249223,249224,249225,249226,258459,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296910,296911,296912,361050,361051,352661,352662,390680,352663,352664,380712,380713,345970,345971,345972,345973,345974,387570,387571,387572,387573,426423,426424,426401,426402,426413,426414,426415,426416,428749,428750,428751,428752,428753,474463,474464,474465,474472,474473,474474,474475,531628,531629,531630,521225,521226,534205,534206,534207,534225,534226,534227,565806,565807,565808,565809,569243,569244,569245,566921,566922,566932,566933,566934,566935,566936,592397,592398,592399,592400,592401,667899,667901,667711,667713,667715,667717,667719,766929,766931,766933,743939,743941,743963,743965,743967,743969,743971,902635,902637,902639,800461,800463,800465,800467,913613,913615,913617,913641,913643,913645,913647,1029825,1029827,1034809,1034811,1034813,1034815,1034817,1031437,1031439,1031441,1031443,1031659,1031661,1031663,1072305,1072306,1072307,1072308,1072309,1115780,1115781,1119535,1119536,1119549,1119550,1119551,1119552,1119553"
9117,239025
19264,"226351,238186,225264,225265,225266,225255,258459,258460,258461,667899,667901,667711,667713"
22144,"225443,226350,226351,238187"
